muni_id,category,date,naicscode,name,avgemp,value
352,MAPC Region,2017-01-01,621,Ambulatory health care services,99218,5752
352,MAPC Region,2017-01-01,622,Hospitals,105549,49
352,MAPC Region,2017-01-01,623,Nursing and residential care facilities,43127,1037
352,MAPC Region,2017-01-01,624,Social assistance,67391,15831
352,MAPC Region,2017-01-01,711,Performing arts and spectator sports,8645,449
352,MAPC Region,2017-01-01,712,"Museums, historical sites, zoos, and parks",3429,84
352,MAPC Region,2017-01-01,713,"Amusements, gambling, and recreation",23477,1285
352,MAPC Region,2017-01-01,721,Accommodation,20438,348
352,MAPC Region,2017-01-01,812,Personal and laundry services,27657,3694
352,MAPC Region,2017-01-01,722,Food services and drinking places,152967,8242
352,MAPC Region,2017-01-01,811,Repair and maintenance,12603,2391
352,MAPC Region,2017-01-01,813,Membership associations and organizations,22626,2109
352,MAPC Region,2017-01-01,814,Private households,5021,4529
352,MAPC Region,2017-01-01,921,"Executive, legislative and general government",5408,94
352,MAPC Region,2017-01-01,922,"Justice, public order, and safety activities",13618,191
352,MAPC Region,2017-01-01,923,Administration of human resource programs,139,5
352,MAPC Region,2017-01-01,924,Administration of environmental programs,2624,41
352,MAPC Region,2017-01-01,925,Community and housing program administration,1623,10
352,MAPC Region,2017-01-01,926,Administration of economic programs,5865,76
352,MAPC Region,2017-01-01,928,National security and international affairs,668,6
352,MAPC Region,2017-01-01,101,Goods-Producing,189269,12161
352,MAPC Region,2017-01-01,102,Service-Providing,1852245,108467
352,MAPC Region,2017-01-01,111,Crop production,500,13
352,MAPC Region,2017-01-01,114,"Fishing, hunting and trapping",130,72
352,MAPC Region,2017-01-01,115,Agriculture and forestry support activities,154,25
352,MAPC Region,2017-01-01,213,Support activities for mining,39,6
352,MAPC Region,2017-01-01,221,Utilities,4279,103
352,MAPC Region,2017-01-01,236,Construction of buildings,17935,2474
352,MAPC Region,2017-01-01,237,Heavy and civil engineering construction,9400,318
352,MAPC Region,2017-01-01,238,Specialty trade contractors,51995,6112
352,MAPC Region,2017-01-01,311,Food manufacturing,10734,340
352,MAPC Region,2017-01-01,312,Beverage and tobacco product manufacturing,773,25
352,MAPC Region,2017-01-01,314,Textile product mills,144,21
352,MAPC Region,2017-01-01,315,Apparel manufacturing,352,8
352,MAPC Region,2017-01-01,321,Wood product manufacturing,86,4
352,MAPC Region,2017-01-01,322,Paper manufacturing,629,14
352,MAPC Region,2017-01-01,323,Printing and related support activities,3185,242
352,MAPC Region,2017-01-01,335,Electrical equipment and appliance mfg.,1282,37
352,MAPC Region,2017-01-01,325,Chemical manufacturing,8214,114
352,MAPC Region,2017-01-01,326,Plastics and rubber products manufacturing,611,21
352,MAPC Region,2017-01-01,327,Nonmetallic mineral product manufacturing,440,37
352,MAPC Region,2017-01-01,332,Fabricated metal product manufacturing,7862,362
352,MAPC Region,2017-01-01,333,Machinery manufacturing,2463,83
352,MAPC Region,2017-01-01,334,Computer and electronic product manufacturing,18997,249
352,MAPC Region,2017-01-01,336,Transportation equipment manufacturing,249,9
352,MAPC Region,2017-01-01,337,Furniture and related product manufacturing,550,51
352,MAPC Region,2017-01-01,339,Miscellaneous manufacturing,4254,186
352,MAPC Region,2017-01-01,423,"Merchant wholesalers, durable goods",32123,2110
352,MAPC Region,2017-01-01,424,"Merchant wholesalers, nondurable goods",21555,1072
352,MAPC Region,2017-01-01,425,Electronic markets and agents and brokers,10365,2223
352,MAPC Region,2017-01-01,441,Motor vehicle and parts dealers,16540,717
352,MAPC Region,2017-01-01,442,Furniture and home furnishings stores,5005,492
352,MAPC Region,2017-01-01,443,Electronics and appliance stores,4077,243
352,MAPC Region,2017-01-01,444,Building material and garden supply stores,8910,515
352,MAPC Region,2017-01-01,445,Food and beverage stores,48343,2480
352,MAPC Region,2017-01-01,446,Health and personal care stores,14492,1283
352,MAPC Region,2017-01-01,447,Gasoline stations,4572,751
352,MAPC Region,2017-01-01,448,Clothing and clothing accessories stores,22750,1795
352,MAPC Region,2017-01-01,453,Miscellaneous store retailers,9319,1076
352,MAPC Region,2017-01-01,451,"Sports, hobby, music instrument, book stores",7514,564
352,MAPC Region,2017-01-01,452,General merchandise stores,19842,284
352,MAPC Region,2017-01-01,454,Nonstore retailers,8682,506
352,MAPC Region,2017-01-01,481,Air transportation,7564,62
352,MAPC Region,2017-01-01,483,Water transportation,15,3
352,MAPC Region,2017-01-01,484,Truck transportation,5243,575
352,MAPC Region,2017-01-01,485,Transit and ground passenger transportation,14058,376
352,MAPC Region,2017-01-01,487,Scenic and sightseeing transportation,1267,38
352,MAPC Region,2017-01-01,488,Support activities for transportation,5606,340
352,MAPC Region,2017-01-01,492,Couriers and messengers,2386,78
352,MAPC Region,2017-01-01,493,Warehousing and storage,994,26
352,MAPC Region,2017-01-01,512,Motion picture and sound recording industries,2138,225
352,MAPC Region,2017-01-01,511,"Publishing industries, except Internet",28988,947
352,MAPC Region,2017-01-01,515,"Broadcasting, except Internet",2591,42
352,MAPC Region,2017-01-01,517,Telecommunications,6514,536
352,MAPC Region,2017-01-01,518,"Data processing, hosting and related services",3627,217
352,MAPC Region,2017-01-01,519,Other information services,8363,423
352,MAPC Region,2017-01-01,522,Credit intermediation and related activities,32610,1731
352,MAPC Region,2017-01-01,523,"Securities, commodity contracts, investments",38928,2305
352,MAPC Region,2017-01-01,524,Insurance carriers and related activities,42184,1707
352,MAPC Region,2017-01-01,525,"Funds, trusts, and other financial vehicles",13,21
352,MAPC Region,2017-01-01,531,Real estate,25299,3492
352,MAPC Region,2017-01-01,532,Rental and leasing services,5559,438
352,MAPC Region,2017-01-01,541,Professional and technical services,241502,18735
352,MAPC Region,2017-01-01,551,Management of companies and enterprises,43060,725
352,MAPC Region,2017-01-01,561,Administrative and support services,104513,5597
352,MAPC Region,2017-01-01,611,Educational services,170340,1949
352,MAPC Region,2017-01-01,562,Waste management and remediation services,4105,236
352,MAPC Region,2016-01-01,922,"Justice, Public Order, and Safety Activi",13458,189
352,MAPC Region,2016-01-01,621,Ambulatory Health Care Services,97278,5718
352,MAPC Region,2016-01-01,622,Hospitals,102590,49
352,MAPC Region,2016-01-01,623,Nursing and Residential Care Facilities,42072,901
352,MAPC Region,2016-01-01,624,Social Assistance,64807,14926
352,MAPC Region,2016-01-01,711,Performing Arts and Spectator Sports,8617,457
352,MAPC Region,2016-01-01,712,"Museums, Parks and Historical Sites",3369,77
352,MAPC Region,2016-01-01,713,"Amusement, Gambling & Recreation Ind",22794,1227
352,MAPC Region,2016-01-01,721,Accommodation,20595,365
352,MAPC Region,2016-01-01,722,Food Services and Drinking Places,149060,8130
352,MAPC Region,2016-01-01,811,Repair and Maintenance,12781,2391
352,MAPC Region,2016-01-01,812,Personal and Laundry Services,26762,3606
352,MAPC Region,2016-01-01,813,Membership Organizations & Associations,22788,2055
352,MAPC Region,2016-01-01,814,Private Households,5091,4688
