"Country or Area","Year","Value"
"Australia","2018","109532.20991759"
"Australia","2017","108170.69629232"
"Australia","2016","105873.930156543"
"Australia","2015","105368.801285707"
"Australia","2014","105070.905979795"
"Australia","2013","107218.468669856"
"Australia","2012","107907.07256058"
"Australia","2011","108278.926020099"
"Australia","2010","106258.98564064"
"Australia","2009","108388.535612072"
"Australia","2008","109353.592538331"
"Australia","2007","111065.157016916"
"Australia","2006","111344.131103165"
"Australia","2005","111908.876432265"
"Australia","2004","110200.454648155"
"Australia","2003","108063.872818247"
"Australia","2002","113507.385983824"
"Australia","2001","115299.174625221"
"Australia","2000","116699.185079476"
"Australia","1999","113023.535362148"
"Australia","1998","117153.717714584"
"Australia","1997","118199.040670688"
"Australia","1996","115355.759462231"
"Australia","1995","115158.282184655"
"Australia","1994","116834.941740878"
"Australia","1993","120117.915288147"
"Australia","1992","123741.407630354"
"Australia","1991","124308.869106322"
"Australia","1990","124383.179358765"
"Austria","2018","6438.63180841262"
"Austria","2017","6626.10691792748"
"Austria","2016","6642.60828995248"
"Austria","2015","6702.0566032407"
"Austria","2014","6777.44586658089"
"Austria","2013","6907.09720530428"
"Austria","2012","7006.73648653193"
"Austria","2011","7108.45934863183"
"Austria","2010","7308.65772790336"
"Austria","2009","7393.13932386228"
"Austria","2008","7469.49427134473"
"Austria","2007","7595.13482328045"
"Austria","2006","7700.23331211311"
"Austria","2005","7799.94282831327"
"Austria","2004","8033.78890005497"
"Austria","2003","8030.28182535418"
"Austria","2002","8093.6180886713"
"Austria","2001","8234.65753248107"
"Austria","2000","8393.10530880627"
"Austria","1999","8564.76343840804"
"Austria","1998","8745.76867611337"
"Austria","1997","8925.39929102627"
"Austria","1996","9227.62860612943"
"Austria","1995","9530.40564279894"
"Austria","1994","9607.5577082689"
"Austria","1993","9897.40966401147"
"Austria","1992","9981.65250002859"
"Austria","1991","10266.5927285994"
"Austria","1990","10391.4601125377"
"Belarus","2018","16097.623500472"
"Belarus","2017","15931.5607568406"
"Belarus","2016","15784.0594931631"
"Belarus","2015","15998.7354247572"
"Belarus","2014","15853.78847863"
"Belarus","2013","15777.1860121758"
"Belarus","2012","15365.9820091579"
"Belarus","2011","15040.7043345494"
