name,date,value
Australia,2018-01-01,109532.2099
Australia,2017-01-01,108170.6963
Australia,2016-01-01,105873.9302
Australia,2015-01-01,105368.8013
Australia,2014-01-01,105070.906
Australia,2013-01-01,107218.4687
Australia,2012-01-01,107907.0726
Australia,2011-01-01,108278.926
Australia,2010-01-01,106258.9856
Australia,2009-01-01,108388.5356
Australia,2008-01-01,109353.5925
Australia,2007-01-01,111065.157
Australia,2006-01-01,111344.1311
Australia,2005-01-01,111908.8764
Australia,2004-01-01,110200.4546
Australia,2003-01-01,108063.8728
Australia,2002-01-01,113507.386
Australia,2001-01-01,115299.1746
Australia,2000-01-01,116699.1851
Australia,1999-01-01,113023.5354
Australia,1998-01-01,117153.7177
Australia,1997-01-01,118199.0407
Australia,1996-01-01,115355.7595
Australia,1995-01-01,115158.2822
Australia,1994-01-01,116834.9417
Australia,1993-01-01,120117.9153
Australia,1992-01-01,123741.4076
Australia,1991-01-01,124308.8691
Australia,1990-01-01,124383.1794
Austria,2018-01-01,6438.631808
Austria,2017-01-01,6626.106918
Austria,2016-01-01,6642.60829
Austria,2015-01-01,6702.056603
Austria,2014-01-01,6777.445867
Austria,2013-01-01,6907.097205
Austria,2012-01-01,7006.736487
Austria,2011-01-01,7108.459349
Austria,2010-01-01,7308.657728
Austria,2009-01-01,7393.139324
Austria,2008-01-01,7469.494271
Austria,2007-01-01,7595.134823
Austria,2006-01-01,7700.233312
Austria,2005-01-01,7799.942828
Austria,2004-01-01,8033.7889
Austria,2003-01-01,8030.281825
Austria,2002-01-01,8093.618089
Austria,2001-01-01,8234.657532
Austria,2000-01-01,8393.105309
Austria,1999-01-01,8564.763438
Austria,1998-01-01,8745.768676
Austria,1997-01-01,8925.399291
Austria,1996-01-01,9227.628606
Austria,1995-01-01,9530.405643
Austria,1994-01-01,9607.557708
Austria,1993-01-01,9897.409664
Austria,1992-01-01,9981.6525
Austria,1991-01-01,10266.59273
Austria,1990-01-01,10391.46011
Belarus,2018-01-01,16097.6235
Belarus,2017-01-01,15931.56076
Belarus,2016-01-01,15784.05949
Belarus,2015-01-01,15998.73542
Belarus,2014-01-01,15853.78848
Belarus,2013-01-01,15777.18601
Belarus,2012-01-01,15365.98201
Belarus,2011-01-01,15040.70433
Belarus,2010-01-01,15150.85216
Belarus,2009-01-01,14578.78945
Belarus,2008-01-01,14472.78506
Belarus,2007-01-01,13506.78631
Belarus,2006-01-01,13252.68355
Belarus,2005-01-01,12827.12484
Belarus,2004-01-01,13084.40877
Belarus,2003-01-01,12291.48422
Belarus,2002-01-01,12147.15207
Belarus,2001-01-01,12221.68329
Belarus,2000-01-01,12286.22615
Belarus,1999-01-01,12424.76067
Belarus,1998-01-01,12875.76403
Belarus,1997-01-01,12885.35991
Belarus,1996-01-01,12808.02761
Belarus,1995-01-01,12865.93327
Belarus,1994-01-01,13558.63207
Belarus,1993-01-01,14309.11788
Belarus,1992-01-01,15115.86562
Belarus,1991-01-01,16387.25889
Belarus,1990-01-01,17458.52491
Belgium,2018-01-01,7848.735269
Belgium,2017-01-01,7932.116317
Belgium,2016-01-01,8101.186884
Belgium,2015-01-01,8127.371487
Belgium,2014-01-01,8118.957929
Belgium,2013-01-01,8236.656142
Belgium,2012-01-01,8392.1301
Belgium,2011-01-01,8530.818689
Belgium,2010-01-01,8794.357034
Belgium,2009-01-01,8846.083851
Belgium,2008-01-01,8911.077527
Belgium,2007-01-01,9109.246162
Belgium,2006-01-01,9169.308802
Belgium,2005-01-01,9270.777996
Belgium,2004-01-01,9517.352387
Belgium,2003-01-01,9568.973191
Belgium,2002-01-01,10139.99343
Belgium,2001-01-01,10576.6617
Belgium,2000-01-01,11027.45056
Belgium,1999-01-01,11472.60913
Belgium,1998-01-01,11731.08091
Belgium,1997-01-01,11897.92762
Belgium,1996-01-01,12009.64367
Belgium,1995-01-01,12168.09822
Belgium,1994-01-01,12091.9747
Belgium,1993-01-01,12046.38008
Belgium,1992-01-01,12099.24186
Belgium,1991-01-01,12178.67122
Belgium,1990-01-01,12215.1851
Bulgaria,2018-01-01,6753.665421
Bulgaria,2017-01-01,7001.139846
Bulgaria,2016-01-01,7213.214692
Bulgaria,2015-01-01,7450.421038
Bulgaria,2014-01-01,7459.824743
Bulgaria,2013-01-01,7564.695251
Bulgaria,2012-01-01,7686.28673
Bulgaria,2011-01-01,8056.328578
Bulgaria,2010-01-01,7844.178564
Bulgaria,2009-01-01,7877.059093
Bulgaria,2008-01-01,8180.575595
Bulgaria,2007-01-01,8406.993657
Bulgaria,2006-01-01,8501.912178
Bulgaria,2005-01-01,8808.961328
Bulgaria,2004-01-01,9281.170406
Bulgaria,2003-01-01,9898.421717
Bulgaria,2002-01-01,9459.666424
Bulgaria,2001-01-01,9326.837366
Bulgaria,2000-01-01,10068.64808
Bulgaria,1999-01-01,10218.33335
Bulgaria,1998-01-01,10729.11278
Bulgaria,1997-01-01,11325.21477
Bulgaria,1996-01-01,11653.21318
Bulgaria,1995-01-01,11744.35733
Bulgaria,1994-01-01,11703.38221
Bulgaria,1993-01-01,13597.77477
Bulgaria,1992-01-01,14661.37415
Bulgaria,1991-01-01,14946.89968
Bulgaria,1990-01-01,15936.76897
Canada,2018-01-01,91424.11113
Canada,2017-01-01,91893.04174
Canada,2016-01-01,92507.15905
Canada,2015-01-01,95542.41621
Canada,2014-01-01,97277.553
Canada,2013-01-01,95502.21377
Canada,2012-01-01,94060.47297
Canada,2011-01-01,91386.64195
Canada,2010-01-01,91559.35782
Canada,2009-01-01,93922.014
